,ac,mean_cruise_altitude,max_cruise_altitude,distance,takeoff_mass,landing_mass,mean_cruise_tas,mean_cruise_mach
0,a320,40423.07692307692,41000,2670,56470,50430,470.0,0.8200000000000001
1,a320,37546.666666666664,38000,1290,61160,58030,470.0,0.8199666666666666
2,a320,37128.260869565216,38900,2970,63170,56130,470.7608695652174,0.8199652173913045
3,a320,40404.166666666664,41000,4350,57810,48110,470.0,0.8200000000000001
4,a320,40890.90909090909,41000,900,53130,51050,470.0,0.82
5,a320,37850.0,38400,600,57810,56350,470.0,0.82
6,a320,34466.666666666664,35800,2480,65170,59180,473.75,0.82
7,a320,40436.0,41000,1980,55800,51280,470.0,0.819992
8,a320,40076.59574468085,41000,3070,57810,50850,470.0,0.82
9,a320,38516.666666666664,39000,600,56470,55020,470.0,0.82
10,a320,40758.92857142857,41000,3560,55800,47910,470.0,0.8200000000000001
11,a320,37308.333333333336,38600,2480,62500,56610,470.44444444444446,0.8199555555555555
12,a320,37575.0,38300,1880,61830,57320,470.0,0.819925
13,a320,39561.22448979592,40900,3170,59150,51900,470.0,0.8199673469387755
14,a320,40946.51162790698,41000,2870,53800,47460,470.0,0.82
15,a320,40943.10344827586,41000,3660,54470,46440,470.0,0.8200000000000001
16,a320,33154.545454545456,34400,1780,67850,63310,467.45454545454544,0.8043272727272727
17,a320,39961.76470588235,41000,4150,59150,49770,470.0,0.8200000000000001
18,a320,40964.583333333336,41000,3070,52460,45780,470.0,0.82
19,a320,33932.608695652176,35500,2970,67180,59950,475.0,0.82
20,a320,33757.692307692305,34700,1980,66510,61630,475.2692307692308,0.8200000000000001
21,a320,40006.666666666664,40700,1190,55800,53020,469.93333333333334,0.8197933333333334
22,a320,38463.88888888889,40500,4250,62500,52650,470.18055555555554,0.819976388888889
23,a320,37274.0,39100,3170,63170,55690,470.7,0.8199500000000001
24,a320,33575.0,35200,3270,68520,60540,475.71153846153845,0.8200000000000001
25,a320,33310.71428571428,34300,2080,67850,62700,476.14285714285717,0.8200000000000001
26,a320,40736.36363636364,41000,2380,55140,49790,470.0,0.82
27,a320,33262.5,34800,3070,69190,61640,476.3125,0.82
28,a320,39888.88888888889,40400,700,54470,52810,470.0,0.82
29,a320,35160.34482758621,38100,3560,66510,57950,473.17241379310343,0.8199551724137931
30,a320,38500.0,40100,3560,61830,53550,470.0,0.8199724137931036
31,a320,34553.57142857143,35600,2080,64500,59450,473.64285714285717,0.8200000000000001
32,a320,33038.46153846154,33900,1980,68520,63580,476.88461538461536,0.8200000000000001
33,a320,32369.444444444445,34400,4250,73200,62640,478.2361111111111,0.8200000000000001
34,a320,39530.555555555555,41000,4350,60490,50580,470.0,0.8200000000000001
35,a320,40222.22222222222,41000,4350,58480,48730,470.0,0.8200000000000001
36,a320,34900.0,35700,900,61830,59620,472.84615384615387,0.8200000000000001
37,a320,33681.818181818184,34500,1780,66510,62100,475.40909090909093,0.82
38,a320,40930.0,41000,1690,51120,47370,470.0,0.82
39,a320,40993.333333333336,41000,1390,52460,49310,470.0,0.8200000000000001
40,a320,40967.307692307695,41000,3270,51120,44100,470.0,0.8200000000000001
41,a320,40888.88888888889,41000,1590,53800,50180,470.0,0.82
42,a320,40954.71698113208,41000,3360,53800,46430,470.0,0.8200000000000001
43,a320,33300.0,34900,3170,69190,61410,476.24,0.82
44,a320,33300.0,33700,700,65170,63400,476.3,0.82
45,a320,40147.05882352941,41000,3270,57810,50420,470.0,0.82
46,a320,33728.57142857143,35900,4150,69190,59100,475.35714285714283,0.8200000000000001
47,a320,38911.290322580644,40600,3760,61160,52490,470.0,0.8199725806451613
48,a320,40955.555555555555,41000,2480,53130,47650,470.0,0.82
49,a320,33385.18518518518,35100,3360,69190,60940,476.1111111111111,0.8200000000000001
50,a320,31566.176470588234,33400,4250,75880,65160,479.97058823529414,0.8200000000000001
51,a320,40993.333333333336,41000,1390,53130,49960,470.0,0.8200000000000001
52,a320,38897.36842105263,39900,2570,59820,53840,470.0,0.8199552631578948
53,a320,33014.583333333336,34500,3070,69860,62280,476.9166666666667,0.82
54,a320,40936.36363636364,41000,1780,51790,47810,470.0,0.82
55,a320,33075.0,34000,2080,68520,63340,476.82142857142856,0.8200000000000001
56,a320,31790.909090909092,33600,3960,74540,64620,479.5151515151515,0.8200000000000001
57,a320,37634.61538461538,38400,1980,61830,57090,470.0,0.8199384615384615
58,a320,40536.73469387755,41000,3170,56470,49370,470.0,0.82
59,a320,40717.64705882353,41000,1490,54470,51050,470.0,0.82
60,a320,32522.222222222223,33600,2480,70530,64340,477.94444444444446,0.82
61,a320,36922.22222222222,39000,3360,63840,55870,471.0740740740741,0.8199703703703705
62,a320,35585.71428571428,35800,600,58480,57010,471.2857142857143,0.8200000000000001
63,a320,40701.38888888889,41000,4350,56470,46870,470.0,0.8200000000000001
64,a320,40787.5,41000,3960,55800,47080,470.0,0.8200000000000001
65,a320,34528.57142857143,34800,600,61160,59660,473.57142857142856,0.8200000000000001
66,a320,37650.0,38200,1090,60490,57840,470.0,0.8199571428571428
67,a320,40963.04347826087,41000,2970,52460,45980,470.0,0.82
68,a320,32014.70588235294,33000,2380,71870,65870,479.02941176470586,0.82
69,a320,38118.181818181816,38700,800,58480,56550,470.0,0.82
70,a320,36039.13043478261,38300,2970,64500,57400,471.95652173913044,0.8199543478260868
71,a320,39748.48484848485,40600,2380,57810,52350,470.0,0.8199484848484848
72,a320,34305.769230769234,36100,3270,66510,58620,474.0769230769231,0.8200000000000001
73,a320,32760.344827586207,34500,3560,71200,62390,477.44827586206895,0.8200000000000001
74,a320,35255.0,38200,3660,66510,57720,473.06666666666666,0.8199583333333335
75,a320,35928.125,37900,2280,63840,58350,471.8125,0.8199187499999999
76,a320,37613.333333333336,39600,3660,63170,54580,470.5833333333333,0.8199666666666666
77,a320,37007.142857142855,38200,2080,62500,57510,470.57142857142856,0.8199285714285715
78,a320,33839.0625,35900,3860,68520,59160,475.171875,0.8200000000000001
79,a320,41000.0,41000,4250,51790,42720,470.0,0.8200000000000001
80,a320,35635.416666666664,38100,3070,65170,57810,472.3958333333333,0.8199479166666667
81,a320,38632.5,39700,2670,60490,54250,470.0,0.8199574999999999
82,a320,40700.0,41000,900,53800,51710,470.0,0.82
83,a320,32909.25925925926,34500,3360,70530,62220,477.14814814814815,0.8200000000000001
84,a320,32198.4375,34000,3860,73200,63590,478.609375,0.8200000000000001
85,a320,37346.153846153844,39200,3270,63170,55460,470.6730769230769,0.8199519230769231
86,a320,33336.48648648649,35500,4350,70530,59900,476.1621621621622,0.8200000000000001
87,a320,40555.71428571428,41000,4250,57140,47700,470.0,0.8200000000000001
88,a320,39806.382978723406,41000,3070,58480,51480,470.0,0.8199829787234043
89,a320,39846.93877551021,41000,3170,58480,51270,470.0,0.8199979591836734
90,a320,33458.333333333336,33900,800,65170,63160,475.9166666666667,0.82
91,a320,32382.25806451613,34100,3760,72540,63190,478.1774193548387,0.8200000000000001
92,a320,37513.63636363636,38200,1780,61830,57540,470.0,0.8199090909090908
93,a320,35903.125,38600,3860,65840,56640,472.34375,0.8199750000000001
94,a320,32880.0,33900,2180,69190,63760,477.2,0.8200000000000001
95,a320,32929.545454545456,34300,2870,69860,62750,477.04545454545456,0.82
96,a320,33570.0,34900,2670,67850,61290,475.675,0.82
97,a320,32393.333333333332,33300,2180,70530,65050,478.1666666666667,0.8200000000000001
98,a320,33861.11111111111,35600,3360,67850,59670,475.037037037037,0.8200000000000001
99,a320,32327.14285714286,34300,4150,73200,62880,478.3285714285714,0.8200000000000001
100,a320,40288.88888888889,41000,2970,57140,50430,470.0,0.82
101,a320,37682.142857142855,38500,2080,61830,56870,470.0,0.8199428571428572
102,a320,41000.0,41000,4060,51790,43120,470.0,0.8200000000000001
103,a320,31629.850746268658,33400,4060,75210,65010,479.8358208955224,0.8200000000000001
104,a320,32636.486486486487,34700,4350,72540,61780,477.64864864864865,0.8200000000000001
105,a320,32360.0,33800,3170,71870,63970,478.24,0.82
106,a320,33000.0,34200,2480,69190,63050,476.8611111111111,0.82
107,a320,31965.625,33700,3860,73870,64220,479.078125,0.8200000000000001
108,a320,40216.666666666664,41000,3460,57810,50000,470.0,0.8200000000000001
109,a320,36067.64705882353,38800,4060,65840,56200,472.22058823529414,0.8199764705882353
110,a320,32257.14285714286,33900,3460,72540,63900,478.48214285714283,0.8200000000000001
111,a320,33317.5,34600,2670,68520,61940,476.225,0.82
112,a320,40940.74074074074,41000,3460,54470,46860,470.0,0.8200000000000001
113,a320,38855.555555555555,39500,700,56470,54800,470.0,0.82
114,a320,40015.27777777778,41000,4350,59150,49350,470.0,0.8200000000000001
115,a320,38537.5,39100,1390,59150,55840,470.0,0.8199375
116,a320,34640.625,35900,2280,64500,58990,473.5,0.82
117,a320,33213.23529411765,35200,4060,70530,60590,476.45588235294116,0.8200000000000001
118,a320,39831.666666666664,41000,3760,59150,50620,470.0,0.8200000000000001
119,a320,34224.32432432433,37700,4350,69190,58640,474.7027027027027,0.819964864864865
120,a320,39402.32558139535,40600,2870,59150,52550,470.0,0.8199604651162791
121,a320,33658.333333333336,34000,800,64500,62500,475.5833333333333,0.82
122,a320,33618.51851851852,35300,3360,68520,60310,475.64814814814815,0.8200000000000001
123,a320,33722.22222222222,35000,2480,67180,61110,475.44444444444446,0.82
124,a320,40967.307692307695,41000,3270,52460,45370,470.0,0.8200000000000001
125,a320,33564.28571428572,34600,2080,67180,62040,475.82142857142856,0.8200000000000001
126,a320,32585.714285714286,34300,1980,67180,62140,464.2857142857143,0.7969142857142858
127,a320,39460.0,39900,1290,57140,54110,470.0,0.8199666666666666
128,a320,40876.92307692308,41000,2670,54470,48520,470.0,0.8200000000000001
129,a320,39168.75,40500,3070,59820,52750,470.0,0.8199645833333333
130,a320,32646.153846153848,33200,800,67180,65150,477.6923076923077,0.8200000000000001
131,a320,40388.67924528302,41000,3360,57140,49580,470.0,0.8200000000000001
132,a320,31666.0,33000,3170,73870,65890,479.76,0.82
133,a320,39050.0,39600,1690,58480,54520,470.0,0.8199099999999999
134,a320,33472.72727272727,34000,700,64500,62740,475.8181818181818,0.82
135,a320,33187.5,34900,3460,69860,61350,476.51785714285717,0.8200000000000001
136,a320,40968.51851851852,41000,3360,51790,44530,470.0,0.8200000000000001
137,a320,40952.857142857145,41000,4250,54470,45220,470.0,0.8200000000000001
138,a320,37323.529411764706,38100,1490,61830,58220,469.94117647058823,0.8198705882352941
139,a320,40667.1875,41000,3960,56470,47700,470.0,0.8200000000000001
140,a320,40474.07407407407,41000,2080,55800,51070,470.0,0.8200000000000001
141,a320,37978.57142857143,38500,1090,59820,57180,470.0,0.8199500000000001
142,a320,33050.0,33200,500,63170,61890,477.0,0.82
143,a320,38506.666666666664,38900,1290,59150,56070,470.0,0.8199666666666666
144,a320,33686.76470588235,35800,4060,69190,59330,475.4264705882353,0.8200000000000001
145,a320,34133.333333333336,34800,1590,65170,61260,474.44444444444446,0.82
146,a320,34343.333333333336,35500,2180,65170,59870,474.06666666666666,0.8200000000000001
147,a320,38912.0,40300,3170,60490,53160,470.0,0.819966
148,a320,33733.333333333336,35300,3070,67850,60360,475.3125,0.82
149,a320,39665.0,40200,1690,57140,53220,470.0,0.8199099999999999
150,a320,40959.52380952381,41000,2770,52460,46390,470.0,0.82
151,a320,38239.0625,40100,3860,62500,53520,470.203125,0.8199750000000001
152,a320,40202.857142857145,41000,4250,58480,48940,470.0,0.8200000000000001
153,a320,40568.055555555555,41000,4350,57140,47490,470.0,0.8200000000000001
154,a320,38407.142857142855,40400,4150,62500,52870,470.1857142857143,0.8199757142857144
155,a320,40911.76470588235,41000,1490,51790,48440,470.0,0.82
156,a320,37913.88888888889,39000,2480,61830,55970,470.0,0.819925
157,a320,40675.757575757576,41000,4060,56470,47490,470.0,0.8200000000000001
158,a320,39308.06451612903,40900,3860,60490,51650,470.0,0.8199854838709678
159,a320,39550.0,40000,600,54470,53030,470.0,0.82
160,a320,39046.666666666664,39600,1190,57810,54990,470.0,0.8199
161,a320,38061.11111111111,38600,1590,60490,56690,470.0,0.8198500000000001
162,a320,40680.85106382979,41000,3070,55800,48950,470.0,0.82
163,a320,38063.793103448275,39800,3560,62500,54180,470.2241379310345,0.8199689655172414
164,a320,31792.85714285714,33300,3460,73870,65170,479.44642857142856,0.8200000000000001
165,a320,41000.0,41000,3860,51790,43520,470.0,0.8200000000000001
166,a320,40713.20754716981,41000,3360,55800,48320,470.0,0.8200000000000001
167,a320,33689.13043478261,35200,2970,67850,60600,475.3695652173913,0.82
168,a320,40715.38461538462,41000,990,53800,51490,470.0,0.8200000000000001
169,a320,40961.36363636364,41000,2870,51120,44910,470.0,0.82
170,a320,33065.27777777778,35200,4250,71200,60760,476.77777777777777,0.8200000000000001
171,a320,40936.36363636364,41000,1780,52460,48460,470.0,0.82
172,a320,35125.0,35400,500,58480,57240,472.5,0.82
173,a320,37204.166666666664,39000,3070,63170,55910,470.7291666666667,0.8199666666666667
174,a320,33052.63157894737,34300,2570,69190,62820,476.7368421052632,0.82
175,a320,34323.529411764706,35800,1490,64500,60840,474.11764705882354,0.82
176,a320,32666.666666666668,33300,1590,69190,65180,477.6111111111111,0.82
177,a320,38576.31578947369,39600,2570,60490,54470,470.0,0.8199552631578948
178,a320,34394.444444444445,35100,1590,64500,60600,473.94444444444446,0.82
179,a320,39890.19607843137,41000,3270,58480,51060,470.0,0.82
180,a320,35155.555555555555,35900,1590,62500,58640,472.3888888888889,0.82
181,a320,34035.48387096774,36000,3760,67850,58750,474.66129032258067,0.8200000000000001
182,a320,41000.0,41000,4250,53130,43970,470.0,0.8200000000000001
183,a320,40861.53846153846,41000,990,53130,50830,470.0,0.8200000000000001
184,a320,39605.555555555555,40100,1590,57140,53440,470.0,0.8199
185,a320,40956.14035087719,41000,3560,53800,46020,470.0,0.8200000000000001
186,a320,32975.0,35000,4060,71200,61220,476.9852941176471,0.8200000000000001
187,a320,41000.0,41000,3660,51120,43290,470.0,0.8200000000000001
188,a320,40968.51851851852,41000,3360,52460,45160,470.0,0.8200000000000001
189,a320,40693.87755102041,41000,3170,55800,48740,470.0,0.82
190,a320,40993.75,41000,1390,51790,48650,470.0,0.82
191,a320,40530.30303030303,41000,4060,57140,48120,470.0,0.8200000000000001
192,a320,31959.45945945946,34000,4350,74540,63670,479.13513513513516,0.8200000000000001
193,a320,34500.0,35300,990,63170,60710,473.7142857142857,0.8200000000000001
194,a320,35500.0,36000,800,59820,57870,471.45454545454544,0.82
195,a320,40809.72222222222,41000,4350,55800,46250,470.0,0.8200000000000001
196,a320,39222.0,40600,3170,59820,52530,470.0,0.819966
197,a320,40942.307692307695,41000,1980,51120,46750,470.0,0.8200000000000001
198,a320,40833.333333333336,41000,1190,53800,51050,470.0,0.8200000000000001
199,a320,40950.0,41000,2180,51120,46340,470.0,0.8200000000000001
200,a320,38753.57142857143,40300,3460,61160,53140,470.0,0.8199696428571429
201,a320,40952.94117647059,41000,2380,51790,46570,470.0,0.82
202,a320,40018.181818181816,40300,900,55140,53030,470.0,0.82
203,a320,35532.608695652176,38000,2970,65170,58040,472.5,0.8199434782608697
204,a320,39666.666666666664,39900,500,52460,51260,470.0,0.82
205,a320,33700.0,34900,1290,65840,62620,475.5,0.82
206,a320,33991.666666666664,35900,3660,67850,58980,474.8,0.8200000000000001
207,a320,33600.0,35600,3860,69190,59790,475.59375,0.8200000000000001
208,a320,39544.0,40200,1980,57810,53220,470.0,0.8199279999999999
209,a320,40646.666666666664,41000,3760,56470,48120,470.0,0.8200000000000001
210,a320,34867.142857142855,38100,4150,67850,57850,473.7,0.8199628571428573
211,a320,38229.166666666664,39600,3070,61830,54640,470.0,0.8199583333333335
212,a320,33023.529411764706,34300,1390,67850,64350,476.88235294117646,0.82
213,a320,39630.769230769234,40000,1090,56470,53900,470.0,0.8199615384615384
214,a320,40854.83870967742,41000,2280,54470,49350,470.0,0.8200000000000001
215,a320,32352.63157894737,33000,1590,69860,65830,478.3157894736842,0.82
216,a320,32058.333333333332,33100,2480,71870,65630,478.94444444444446,0.82
217,a320,34086.666666666664,35200,2180,65840,60520,474.6,0.8200000000000001
218,a320,40927.77777777778,41000,1590,51790,48230,470.0,0.82
219,a320,41000.0,41000,3860,53130,44780,470.0,0.8200000000000001
220,a320,33286.666666666664,34100,1090,66510,63760,476.3333333333333,0.8200000000000001
221,a320,40450.0,41000,3560,57140,49160,470.0,0.8200000000000001
222,a320,38430.0,39000,1690,59820,55820,470.0,0.8198899999999998
223,a320,38063.333333333336,39000,2180,61160,56000,470.0,0.8199166666666667
224,a320,39000.0,39500,1590,58480,54740,470.0,0.8199
225,a320,40861.11111111111,41000,3460,55140,47480,470.0,0.8200000000000001
226,a320,40960.0,41000,2670,51790,45960,470.0,0.82
227,a320,40844.8275862069,41000,2180,54470,49560,470.0,0.8200000000000001
228,a320,37950.0,38800,1980,61160,56450,470.0,0.8199
229,a320,40967.857142857145,41000,3460,51790,44330,470.0,0.8200000000000001
230,a320,38553.333333333336,40200,3660,61830,53330,470.0,0.8199716666666668
231,a320,40935.0,41000,2670,53800,47880,470.0,0.82
232,a320,40837.03703703704,41000,2080,54470,49780,470.0,0.8200000000000001
233,a320,39439.393939393936,40300,2380,58480,52990,470.0,0.8199484848484848
234,a320,33825.0,34200,600,63170,61650,475.25,0.82
235,a320,37704.34782608696,39200,2970,62500,55500,470.2826086956522,0.8199478260869566
236,a320,36264.51612903226,38800,3760,65170,56240,471.85483870967744,0.8199741935483872
237,a320,38853.333333333336,39200,1290,58480,55420,470.0,0.8199666666666666
238,a320,38992.307692307695,39300,1090,57810,55210,470.0,0.819976923076923
239,a320,40342.857142857145,41000,3170,57140,50010,470.0,0.82
240,a320,34820.0,37900,3660,67180,58350,473.71666666666664,0.8199566666666667
241,a320,34276.470588235294,35700,1390,64500,61070,474.2352941176471,0.82
242,a320,33517.64705882353,34900,1390,66510,63040,475.88235294117646,0.82
243,a320,31748.4375,33500,3860,74540,64850,479.59375,0.8200000000000001
244,a320,38808.620689655174,40400,3560,61160,52920,470.0,0.8199706896551725
245,a320,38025.0,38500,700,58480,56780,470.0,0.82
246,a320,38219.444444444445,39300,2480,61160,55330,470.0,0.8199388888888889
247,a320,40637.5,41000,700,53130,51490,470.0,0.82
248,a320,31768.18181818182,33000,2870,73200,65960,479.52272727272725,0.82
249,a320,39205.26315789474,40200,2570,59150,53200,470.0,0.8199552631578948
250,a320,39916.666666666664,40400,1590,56470,52790,470.0,0.8199055555555556
251,a320,33359.52380952381,34700,2770,68520,61700,476.1190476190476,0.82
252,a320,40952.94117647059,41000,2380,52460,47220,470.0,0.82
253,a320,33564.705882352944,34900,1490,66510,62800,475.8235294117647,0.82
254,a320,35197.05882352941,38300,4060,67180,57450,473.27941176470586,0.819964705882353
255,a320,40354.545454545456,40700,900,54470,52370,470.0,0.82
256,a320,37378.94736842105,38700,2570,62500,56390,470.42105263157896,0.8199578947368421
257,a320,32297.222222222223,33400,2480,71200,64990,478.44444444444446,0.82
258,a320,38543.75,39900,3070,61160,54010,470.0,0.8199666666666667
259,a320,38415.625,39300,2280,60490,55140,470.0,0.8199375
260,a320,32848.3870967742,34700,3760,71200,61920,477.2258064516129,0.8200000000000001
261,a320,40937.5,41000,1880,51790,47600,470.0,0.82
262,a320,34800.0,35000,500,59150,57900,473.0,0.82
263,a320,35372.22222222222,38500,4250,67180,57000,473.09722222222223,0.8199722222222223
264,a320,34523.61111111111,37900,4250,68520,58240,474.27777777777777,0.8199638888888889
265,a320,38952.5,40100,2670,59820,53620,470.0,0.8199574999999999
266,a320,39315.38461538462,39600,1090,57140,54560,470.0,0.8199692307692307
267,a320,32188.095238095237,33400,2770,71870,64920,478.6666666666667,0.82
268,a320,34428.57142857143,37800,4150,68520,58470,474.4,0.8199628571428573
269,a320,33821.153846153844,35500,3270,67850,59900,475.1730769230769,0.8200000000000001
270,a320,36135.416666666664,38400,3070,64500,57180,471.875,0.8199583333333335
271,a320,35698.57142857143,38700,4150,66510,56600,472.62857142857143,0.819977142857143
272,a320,34720.68965517241,37800,3560,67180,58580,473.8448275862069,0.8199551724137931
273,a320,32576.923076923078,32900,900,67850,65570,477.84615384615387,0.8200000000000001
274,a320,39117.391304347824,40400,2970,59820,52960,470.0,0.8199630434782609
275,a320,36430.95238095238,38400,2770,63840,57220,471.3809523809524,0.819952380952381
276,a320,41000.0,41000,4350,52460,43140,470.0,0.8200000000000001
277,a320,40927.77777777778,41000,1590,52460,48880,470.0,0.82
278,a320,39161.53846153846,39600,990,57140,54780,470.0,0.8199538461538461
279,a320,34184.782608695656,35800,2970,66510,59310,474.3695652173913,0.82
280,a320,31566.666666666668,33600,1690,67850,63530,453.44444444444446,0.7746444444444445
281,a320,41000.0,41000,4150,51790,42920,470.0,0.8200000000000001
282,a320,40927.77777777778,41000,1590,53130,49530,470.0,0.82
283,a320,35227.27272727273,35700,800,60490,58530,472.27272727272725,0.82
284,a320,40963.82978723404,41000,3070,53130,46410,470.0,0.82
285,a320,36560.34482758621,38900,3560,64500,56060,471.55172413793105,0.8199724137931036
286,a320,36933.333333333336,37500,1090,61830,59150,470.06666666666666,0.8199733333333333
287,a320,36923.07692307692,38100,1980,62500,57740,470.61538461538464,0.8199192307692308
288,a320,31983.333333333332,33500,3360,73200,64770,479.0740740740741,0.8200000000000001
289,a320,32869.230769230766,34400,3270,70530,62450,477.2307692307692,0.8200000000000001
290,a320,38737.5,39600,2280,59820,54490,470.0,0.819946875
291,a320,35600.0,35800,700,59150,57440,471.44444444444446,0.82
292,a320,33144.444444444445,34800,3360,69860,61580,476.5925925925926,0.8200000000000001
293,a320,35783.333333333336,38800,4250,66510,56370,472.55555555555554,0.8199777777777779
294,a320,34211.11111111111,35500,2480,65840,59820,474.44444444444446,0.82
295,a320,37088.88888888889,39700,4250,64500,54510,471.25,0.8199722222222223
296,a320,32704.545454545456,33400,1780,69190,64700,477.54545454545456,0.82
297,a320,40048.275862068964,41000,3660,58480,50200,470.0,0.8200000000000001
298,a320,40187.179487179485,41000,2670,57140,51070,470.0,0.8200000000000001
299,a320,40002.32558139535,41000,2870,57810,51280,470.0,0.8199976744186045
300,a320,36716.12903225807,39100,3760,64500,55610,471.4516129032258,0.8199741935483872
301,a320,36770.0,38800,3170,63840,56320,471.16,0.819968
302,a320,35309.52380952381,37800,2770,65170,58490,472.73809523809524,0.8199380952380951
303,a320,32763.88888888889,33900,2480,69860,63700,477.44444444444446,0.82
304,a320,34018.0,35700,3170,67180,59490,474.76,0.82
305,a320,39593.75,40400,1490,57140,53660,469.9375,0.8197749999999999
306,a320,34582.35294117647,36200,1490,63840,60180,473.47058823529414,0.82
307,a320,40920.0,41000,2180,53800,48920,470.0,0.8200000000000001
308,a320,40226.829268292684,41000,2770,57140,50860,470.0,0.82
309,a320,40481.25,41000,1490,55140,51700,470.0,0.8199749999999999
310,a320,40951.02040816326,41000,3170,53800,46840,470.0,0.82
311,a320,33409.375,34500,2280,67850,62230,476.0625,0.82
312,a320,36850.0,38900,3270,63840,56100,471.11538461538464,0.8199692307692307
313,a320,40946.666666666664,41000,2180,53130,48280,470.0,0.8200000000000001
314,a320,32930.0,33600,1690,68520,64290,477.2,0.82
